Train Number,Train Name,Source,Destination,Departure,Arrival,Journey Time (mins),Distance (km),Line/Route,Division,Direction
37144,Arambagh - Howrah Local,Arambagh,Howrah,17:02,18:53,111,81,Tarakeswar Line,Howrah,DOWN
37146,Arambagh - Howrah Local,Arambagh,Howrah,17:40,19:32,112,81,Tarakeswar Line,Howrah,DOWN
37148,Arambagh - Howrah Local,Arambagh,Howrah,18:18,20:13,115,81,Tarakeswar Line,Howrah,DOWN
37150,Arambagh - Howrah Local,Arambagh,Howrah,19:00,20:51,111,81,Tarakeswar Line,Howrah,DOWN
37152,Arambagh - Howrah Local,Arambagh,Howrah,19:41,21:34,113,81,Tarakeswar Line,Howrah,DOWN
37154,Arambagh - Howrah Local,Arambagh,Howrah,20:22,22:13,111,81,Tarakeswar Line,Howrah,DOWN
37156,Arambagh - Howrah Local,Arambagh,Howrah,21:00,22:55,115,81,Tarakeswar Line,Howrah,DOWN
37158,Arambagh - Howrah Local,Arambagh,Howrah,21:41,23:37,116,81,Tarakeswar Line,Howrah,DOWN
37160,Arambagh - Howrah Local,Arambagh,Howrah,22:20,00:11,111,81,Tarakeswar Line,Howrah,DOWN
37162,Arambagh - Howrah Local,Arambagh,Howrah,23:01,00:59,118,81,Tarakeswar Line,Howrah,DOWN
37164,Arambagh - Howrah Local,Arambagh,Howrah,23:43,01:40,117,81,Tarakeswar Line,Howrah,DOWN
37102,Bandel - Howrah Local,Bandel,Howrah,03:00,04:09,69,40,Main Line,Howrah,DOWN
37104,Bandel - Howrah Local,Bandel,Howrah,03:14,04:19,65,40,Main Line,Howrah,DOWN
37106,Bandel - Howrah Local,Bandel,Howrah,03:24,04:29,65,40,Main Line,Howrah,DOWN
37108,Bandel - Howrah Local,Bandel,Howrah,03:37,04:43,66,40,Main Line,Howrah,DOWN
37110,Bandel - Howrah Local,Bandel,Howrah,03:48,04:52,64,40,Main Line,Howrah,DOWN
37112,Bandel - Howrah Local,Bandel,Howrah,03:58,05:02,64,40,Main Line,Howrah,DOWN
37114,Bandel - Howrah Local,Bandel,Howrah,04:08,05:14,66,40,Main Line,Howrah,DOWN
37116,Bandel - Howrah Local,Bandel,Howrah,04:21,05:24,63,40,Main Line,Howrah,DOWN
37118,Bandel - Howrah Local,Bandel,Howrah,04:31,05:33,62,40,Main Line,Howrah,DOWN
37120,Bandel - Howrah Local,Bandel,Howrah,04:43,05:47,64,40,Main Line,Howrah,DOWN
37122,Bandel - Howrah Local,Bandel,Howrah,04:56,05:57,61,40,Main Line,Howrah,DOWN
37124,Bandel - Howrah Local,Bandel,Howrah,05:06,06:14,68,40,Main Line,Howrah,DOWN
37126,Bandel - Howrah Local,Bandel,Howrah,05:20,06:23,63,40,Main Line,Howrah,DOWN
37128,Bandel - Howrah Local,Bandel,Howrah,05:34,06:36,62,40,Main Line,Howrah,DOWN
37130,Bandel - Howrah Local,Bandel,Howrah,05:46,06:49,63,40,Main Line,Howrah,DOWN
37132,Bandel - Howrah Local,Bandel,Howrah,05:57,06:59,62,40,Main Line,Howrah,DOWN
37134,Bandel - Howrah Local,Bandel,Howrah,06:10,07:16,66,40,Main Line,Howrah,DOWN
37136,Bandel - Howrah Local,Bandel,Howrah,06:24,07:25,61,40,Main Line,Howrah,DOWN
37138,Bandel - Howrah Local,Bandel,Howrah,06:34,07:37,63,40,Main Line,Howrah,DOWN
37140,Bandel - Howrah Local,Bandel,Howrah,06:46,07:48,62,40,Main Line,Howrah,DOWN
37142,Bandel - Howrah Local,Bandel,Howrah,07:00,08:08,68,40,Main Line,Howrah,DOWN
37144,Bandel - Howrah Local,Bandel,Howrah,07:11,08:17,66,40,Main Line,Howrah,DOWN
37146,Bandel - Howrah Local,Bandel,Howrah,07:22,08:28,66,40,Main Line,Howrah,DOWN
37148,Bandel - Howrah Local,Bandel,Howrah,07:36,08:40,64,40,Main Line,Howrah,DOWN
37150,Bandel - Howrah Local,Bandel,Howrah,07:49,08:56,67,40,Main Line,Howrah,DOWN
37152,Bandel - Howrah Local,Bandel,Howrah,07:59,09:02,63,40,Main Line,Howrah,DOWN
37154,Bandel - Howrah Local,Bandel,Howrah,08:11,09:12,61,40,Main Line,Howrah,DOWN
37156,Bandel - Howrah Local,Bandel,Howrah,08:23,09:31,68,40,Main Line,Howrah,DOWN
37158,Bandel - Howrah Local,Bandel,Howrah,08:36,09:41,65,40,Main Line,Howrah,DOWN
37160,Bandel - Howrah Local,Bandel,Howrah,08:50,09:58,68,40,Main Line,Howrah,DOWN
37162,Bandel - Howrah Local,Bandel,Howrah,09:04,10:07,63,40,Main Line,Howrah,DOWN
37164,Bandel - Howrah Local,Bandel,Howrah,09:15,10:21,66,40,Main Line,Howrah,DOWN
37166,Bandel - Howrah Local,Bandel,Howrah,09:29,10:37,68,40,Main Line,Howrah,DOWN
37168,Bandel - Howrah Local,Bandel,Howrah,09:41,10:50,69,40,Main Line,Howrah,DOWN
37170,Bandel - Howrah Local,Bandel,Howrah,09:53,10:55,62,40,Main Line,Howrah,DOWN
37172,Bandel - Howrah Local,Bandel,Howrah,10:04,11:07,63,40,Main Line,Howrah,DOWN
37174,Bandel - Howrah Local,Bandel,Howrah,10:18,11:23,65,40,Main Line,Howrah,DOWN
37176,Bandel - Howrah Local,Bandel,Howrah,10:31,11:40,69,40,Main Line,Howrah,DOWN
37178,Bandel - Howrah Local,Bandel,Howrah,10:43,11:51,68,40,Main Line,Howrah,DOWN
37180,Bandel - Howrah Local,Bandel,Howrah,10:55,12:04,69,40,Main Line,Howrah,DOWN
37182,Bandel - Howrah Local,Bandel,Howrah,11:05,12:08,63,40,Main Line,Howrah,DOWN
37184,Bandel - Howrah Local,Bandel,Howrah,11:18,12:24,66,40,Main Line,Howrah,DOWN
37186,Bandel - Howrah Local,Bandel,Howrah,11:28,12:32,64,40,Main Line,Howrah,DOWN
37188,Bandel - Howrah Local,Bandel,Howrah,11:42,12:44,62,40,Main Line,Howrah,DOWN
37190,Bandel - Howrah Local,Bandel,Howrah,11:54,13:01,67,40,Main Line,Howrah,DOWN
37192,Bandel - Howrah Local,Bandel,Howrah,12:08,13:17,69,40,Main Line,Howrah,DOWN
37194,Bandel - Howrah Local,Bandel,Howrah,12:19,13:28,69,40,Main Line,Howrah,DOWN
37196,Bandel - Howrah Local,Bandel,Howrah,12:32,13:37,65,40,Main Line,Howrah,DOWN
37198,Bandel - Howrah Local,Bandel,Howrah,12:43,13:50,67,40,Main Line,Howrah,DOWN
37200,Bandel - Howrah Local,Bandel,Howrah,12:55,13:57,62,40,Main Line,Howrah,DOWN
37202,Bandel - Howrah Local,Bandel,Howrah,13:07,14:16,69,40,Main Line,Howrah,DOWN
37204,Bandel - Howrah Local,Bandel,Howrah,13:17,14:18,61,40,Main Line,Howrah,DOWN
37206,Bandel - Howrah Local,Bandel,Howrah,13:27,14:30,63,40,Main Line,Howrah,DOWN
37208,Bandel - Howrah Local,Bandel,Howrah,13:38,14:42,64,40,Main Line,Howrah,DOWN
37210,Bandel - Howrah Local,Bandel,Howrah,13:48,14:56,68,40,Main Line,Howrah,DOWN
37212,Bandel - Howrah Local,Bandel,Howrah,13:58,15:00,62,40,Main Line,Howrah,DOWN
37214,Bandel - Howrah Local,Bandel,Howrah,14:09,15:16,67,40,Main Line,Howrah,DOWN
37216,Bandel - Howrah Local,Bandel,Howrah,14:19,15:28,69,40,Main Line,Howrah,DOWN
37218,Bandel - Howrah Local,Bandel,Howrah,14:32,15:37,65,40,Main Line,Howrah,DOWN
37220,Bandel - Howrah Local,Bandel,Howrah,14:46,15:52,66,40,Main Line,Howrah,DOWN
37222,Bandel - Howrah Local,Bandel,Howrah,14:56,15:58,62,40,Main Line,Howrah,DOWN
37224,Bandel - Howrah Local,Bandel,Howrah,15:07,16:11,64,40,Main Line,Howrah,DOWN
37226,Bandel - Howrah Local,Bandel,Howrah,15:17,16:19,62,40,Main Line,Howrah,DOWN
37228,Bandel - Howrah Local,Bandel,Howrah,15:30,16:31,61,40,Main Line,Howrah,DOWN
37230,Bandel - Howrah Local,Bandel,Howrah,15:43,16:52,69,40,Main Line,Howrah,DOWN
37232,Bandel - Howrah Local,Bandel,Howrah,15:55,17:01,66,40,Main Line,Howrah,DOWN
37234,Bandel - Howrah Local,Bandel,Howrah,16:08,17:13,65,40,Main Line,Howrah,DOWN
37236,Bandel - Howrah Local,Bandel,Howrah,16:18,17:19,61,40,Main Line,Howrah,DOWN
37238,Bandel - Howrah Local,Bandel,Howrah,16:32,17:37,65,40,Main Line,Howrah,DOWN
37240,Bandel - Howrah Local,Bandel,Howrah,16:42,17:46,64,40,Main Line,Howrah,DOWN
37242,Bandel - Howrah Local,Bandel,Howrah,16:52,17:54,62,40,Main Line,Howrah,DOWN
37244,Bandel - Howrah Local,Bandel,Howrah,17:06,18:10,64,40,Main Line,Howrah,DOWN
37246,Bandel - Howrah Local,Bandel,Howrah,17:16,18:23,67,40,Main Line,Howrah,DOWN
37248,Bandel - Howrah Local,Bandel,Howrah,17:30,18:34,64,40,Main Line,Howrah,DOWN
37250,Bandel - Howrah Local,Bandel,Howrah,17:41,18:45,64,40,Main Line,Howrah,DOWN
37252,Bandel - Howrah Local,Bandel,Howrah,17:55,18:58,63,40,Main Line,Howrah,DOWN
37254,Bandel - Howrah Local,Bandel,Howrah,18:09,19:18,69,40,Main Line,Howrah,DOWN
37256,Bandel - Howrah Local,Bandel,Howrah,18:23,19:25,62,40,Main Line,Howrah,DOWN
37258,Bandel - Howrah Local,Bandel,Howrah,18:36,19:42,66,40,Main Line,Howrah,DOWN
37260,Bandel - Howrah Local,Bandel,Howrah,18:50,19:57,67,40,Main Line,Howrah,DOWN
37262,Bandel - Howrah Local,Bandel,Howrah,19:03,20:06,63,40,Main Line,Howrah,DOWN
37264,Bandel - Howrah Local,Bandel,Howrah,19:13,20:22,69,40,Main Line,Howrah,DOWN
37266,Bandel - Howrah Local,Bandel,Howrah,19:24,20:33,69,40,Main Line,Howrah,DOWN
37268,Bandel - Howrah Local,Bandel,Howrah,19:37,20:40,63,40,Main Line,Howrah,DOWN
37270,Bandel - Howrah Local,Bandel,Howrah,19:49,20:57,68,40,Main Line,Howrah,DOWN
37272,Bandel - Howrah Local,Bandel,Howrah,20:03,21:09,66,40,Main Line,Howrah,DOWN
37274,Bandel - Howrah Local,Bandel,Howrah,20:15,21:21,66,40,Main Line,Howrah,DOWN
37276,Bandel - Howrah Local,Bandel,Howrah,20:29,21:36,67,40,Main Line,Howrah,DOWN
37278,Bandel - Howrah Local,Bandel,Howrah,20:41,21:47,66,40,Main Line,Howrah,DOWN
37280,Bandel - Howrah Local,Bandel,Howrah,20:54,21:58,64,40,Main Line,Howrah,DOWN
37282,Bandel - Howrah Local,Bandel,Howrah,21:08,22:17,69,40,Main Line,Howrah,DOWN
37284,Bandel - Howrah Local,Bandel,Howrah,21:22,22:29,67,40,Main Line,Howrah,DOWN
37286,Bandel - Howrah Local,Bandel,Howrah,21:33,22:38,65,40,Main Line,Howrah,DOWN
37288,Bandel - Howrah Local,Bandel,Howrah,21:47,22:55,68,40,Main Line,Howrah,DOWN
37290,Bandel - Howrah Local,Bandel,Howrah,21:59,23:06,67,40,Main Line,Howrah,DOWN
37292,Bandel - Howrah Local,Bandel,Howrah,22:12,23:13,61,40,Main Line,Howrah,DOWN
37294,Bandel - Howrah Local,Bandel,Howrah,22:22,23:23,61,40,Main Line,Howrah,DOWN
37296,Bandel - Howrah Local,Bandel,Howrah,22:34,23:37,63,40,Main Line,Howrah,DOWN
37298,Bandel - Howrah Local,Bandel,Howrah,22:48,23:49,61,40,Main Line,Howrah,DOWN
37300,Bandel - Howrah Local,Bandel,Howrah,23:00,00:04,64,40,Main Line,Howrah,DOWN
37302,Bandel - Howrah Local,Bandel,Howrah,23:12,00:18,66,40,Main Line,Howrah,DOWN
37304,Bandel - Howrah Local,Bandel,Howrah,23:23,00:28,65,40,Main Line,Howrah,DOWN
37306,Bandel - Howrah Local,Bandel,Howrah,23:33,00:42,69,40,Main Line,Howrah,DOWN
37308,Bandel - Howrah Local,Bandel,Howrah,23:47,00:50,63,40,Main Line,Howrah,DOWN
37102,Barddhaman - Howrah Local,Barddhaman,Howrah,03:00,05:31,151,107,Main Line,Howrah,DOWN
37102,Barddhaman - Howrah Local,Barddhaman,Howrah,03:00,05:13,133,95,Chord Line,Howrah,DOWN
37104,Barddhaman - Howrah Local,Barddhaman,Howrah,03:20,05:33,133,95,Chord Line,Howrah,DOWN
37104,Barddhaman - Howrah Local,Barddhaman,Howrah,03:21,05:55,154,107,Main Line,Howrah,DOWN
37106,Barddhaman - Howrah Local,Barddhaman,Howrah,03:38,05:49,131,95,Chord Line,Howrah,DOWN
37106,Barddhaman - Howrah Local,Barddhaman,Howrah,03:41,06:15,154,107,Main Line,Howrah,DOWN
37108,Barddhaman - Howrah Local,Barddhaman,Howrah,03:57,06:12,135,95,Chord Line,Howrah,DOWN
37108,Barddhaman - Howrah Local,Barddhaman,Howrah,04:03,06:42,159,107,Main Line,Howrah,DOWN
37110,Barddhaman - Howrah Local,Barddhaman,Howrah,04:19,06:37,138,95,Chord Line,Howrah,DOWN
37110,Barddhaman - Howrah Local,Barddhaman,Howrah,04:22,06:57,155,107,Main Line,Howrah,DOWN
37112,Barddhaman - Howrah Local,Barddhaman,Howrah,04:37,06:55,138,95,Chord Line,Howrah,DOWN
37112,Barddhaman - Howrah Local,Barddhaman,Howrah,04:44,07:22,158,107,Main Line,Howrah,DOWN
37114,Barddhaman - Howrah Local,Barddhaman,Howrah,04:58,07:09,131,95,Chord Line,Howrah,DOWN
37114,Barddhaman - Howrah Local,Barddhaman,Howrah,05:06,07:39,153,107,Main Line,Howrah,DOWN
37116,Barddhaman - Howrah Local,Barddhaman,Howrah,05:20,07:38,138,95,Chord Line,Howrah,DOWN
37116,Barddhaman - Howrah Local,Barddhaman,Howrah,05:28,08:05,157,107,Main Line,Howrah,DOWN
37118,Barddhaman - Howrah Local,Barddhaman,Howrah,05:42,07:56,134,95,Chord Line,Howrah,DOWN
37118,Barddhaman - Howrah Local,Barddhaman,Howrah,05:46,08:25,159,107,Main Line,Howrah,DOWN
37120,Barddhaman - Howrah Local,Barddhaman,Howrah,06:01,08:19,138,95,Chord Line,Howrah,DOWN
37120,Barddhaman - Howrah Local,Barddhaman,Howrah,06:08,08:43,155,107,Main Line,Howrah,DOWN
37122,Barddhaman - Howrah Local,Barddhaman,Howrah,06:23,08:40,137,95,Chord Line,Howrah,DOWN
37122,Barddhaman - Howrah Local,Barddhaman,Howrah,06:26,08:57,151,107,Main Line,Howrah,DOWN
37124,Barddhaman - Howrah Local,Barddhaman,Howrah,06:44,08:56,132,95,Chord Line,Howrah,DOWN
37124,Barddhaman - Howrah Local,Barddhaman,Howrah,06:45,09:19,154,107,Main Line,Howrah,DOWN
37126,Barddhaman - Howrah Local,Barddhaman,Howrah,07:05,09:40,155,107,Main Line,Howrah,DOWN
37126,Barddhaman - Howrah Local,Barddhaman,Howrah,07:05,09:16,131,95,Chord Line,Howrah,DOWN
37128,Barddhaman - Howrah Local,Barddhaman,Howrah,07:27,10:05,158,107,Main Line,Howrah,DOWN
37128,Barddhaman - Howrah Local,Barddhaman,Howrah,07:27,09:46,139,95,Chord Line,Howrah,DOWN
37130,Barddhaman - Howrah Local,Barddhaman,Howrah,07:45,10:17,152,107,Main Line,Howrah,DOWN
37130,Barddhaman - Howrah Local,Barddhaman,Howrah,07:46,10:05,139,95,Chord Line,Howrah,DOWN
37132,Barddhaman - Howrah Local,Barddhaman,Howrah,08:03,10:38,155,107,Main Line,Howrah,DOWN
37132,Barddhaman - Howrah Local,Barddhaman,Howrah,08:06,10:17,131,95,Chord Line,Howrah,DOWN
37134,Barddhaman - Howrah Local,Barddhaman,Howrah,08:24,10:56,152,107,Main Line,Howrah,DOWN
37134,Barddhaman - Howrah Local,Barddhaman,Howrah,08:25,10:38,133,95,Chord Line,Howrah,DOWN
37136,Barddhaman - Howrah Local,Barddhaman,Howrah,08:44,11:19,155,107,Main Line,Howrah,DOWN
37136,Barddhaman - Howrah Local,Barddhaman,Howrah,08:44,11:00,136,95,Chord Line,Howrah,DOWN
37138,Barddhaman - Howrah Local,Barddhaman,Howrah,09:02,11:36,154,107,Main Line,Howrah,DOWN
37138,Barddhaman - Howrah Local,Barddhaman,Howrah,09:02,11:15,133,95,Chord Line,Howrah,DOWN
37140,Barddhaman - Howrah Local,Barddhaman,Howrah,09:20,11:35,135,95,Chord Line,Howrah,DOWN
37140,Barddhaman - Howrah Local,Barddhaman,Howrah,09:23,12:02,159,107,Main Line,Howrah,DOWN
37142,Barddhaman - Howrah Local,Barddhaman,Howrah,09:38,11:50,132,95,Chord Line,Howrah,DOWN
37142,Barddhaman - Howrah Local,Barddhaman,Howrah,09:44,12:20,156,107,Main Line,Howrah,DOWN
37144,Barddhaman - Howrah Local,Barddhaman,Howrah,09:58,12:10,132,95,Chord Line,Howrah,DOWN
37144,Barddhaman - Howrah Local,Barddhaman,Howrah,10:02,12:41,159,107,Main Line,Howrah,DOWN
37146,Barddhaman - Howrah Local,Barddhaman,Howrah,10:16,12:29,133,95,Chord Line,Howrah,DOWN
37146,Barddhaman - Howrah Local,Barddhaman,Howrah,10:23,12:56,153,107,Main Line,Howrah,DOWN
37148,Barddhaman - Howrah Local,Barddhaman,Howrah,10:37,12:52,135,95,Chord Line,Howrah,DOWN
37148,Barddhaman - Howrah Local,Barddhaman,Howrah,10:41,13:20,159,107,Main Line,Howrah,DOWN
37150,Barddhaman - Howrah Local,Barddhaman,Howrah,10:56,13:15,139,95,Chord Line,Howrah,DOWN
37150,Barddhaman - Howrah Local,Barddhaman,Howrah,11:00,13:39,159,107,Main Line,Howrah,DOWN
37152,Barddhaman - Howrah Local,Barddhaman,Howrah,11:18,13:36,138,95,Chord Line,Howrah,DOWN
37152,Barddhaman - Howrah Local,Barddhaman,Howrah,11:21,13:52,151,107,Main Line,Howrah,DOWN
37154,Barddhaman - Howrah Local,Barddhaman,Howrah,11:37,13:53,136,95,Chord Line,Howrah,DOWN
37154,Barddhaman - Howrah Local,Barddhaman,Howrah,11:39,14:18,159,107,Main Line,Howrah,DOWN
37156,Barddhaman - Howrah Local,Barddhaman,Howrah,11:58,14:34,156,107,Main Line,Howrah,DOWN
37156,Barddhaman - Howrah Local,Barddhaman,Howrah,11:59,14:11,132,95,Chord Line,Howrah,DOWN
37158,Barddhaman - Howrah Local,Barddhaman,Howrah,12:17,14:33,136,95,Chord Line,Howrah,DOWN
37158,Barddhaman - Howrah Local,Barddhaman,Howrah,12:18,14:55,157,107,Main Line,Howrah,DOWN
37160,Barddhaman - Howrah Local,Barddhaman,Howrah,12:37,14:54,137,95,Chord Line,Howrah,DOWN
37160,Barddhaman - Howrah Local,Barddhaman,Howrah,12:39,15:10,151,107,Main Line,Howrah,DOWN
37162,Barddhaman - Howrah Local,Barddhaman,Howrah,12:57,15:14,137,95,Chord Line,Howrah,DOWN
37162,Barddhaman - Howrah Local,Barddhaman,Howrah,12:58,15:34,156,107,Main Line,Howrah,DOWN
37164,Barddhaman - Howrah Local,Barddhaman,Howrah,13:15,15:27,132,95,Chord Line,Howrah,DOWN
37164,Barddhaman - Howrah Local,Barddhaman,Howrah,13:18,15:53,155,107,Main Line,Howrah,DOWN
37166,Barddhaman - Howrah Local,Barddhaman,Howrah,13:37,15:55,138,95,Chord Line,Howrah,DOWN
37166,Barddhaman - Howrah Local,Barddhaman,Howrah,13:38,16:17,159,107,Main Line,Howrah,DOWN
37168,Barddhaman - Howrah Local,Barddhaman,Howrah,13:57,16:28,151,107,Main Line,Howrah,DOWN
37168,Barddhaman - Howrah Local,Barddhaman,Howrah,13:57,16:09,132,95,Chord Line,Howrah,DOWN
37170,Barddhaman - Howrah Local,Barddhaman,Howrah,14:16,16:32,136,95,Chord Line,Howrah,DOWN
37170,Barddhaman - Howrah Local,Barddhaman,Howrah,14:17,16:54,157,107,Main Line,Howrah,DOWN
37172,Barddhaman - Howrah Local,Barddhaman,Howrah,14:36,16:53,137,95,Chord Line,Howrah,DOWN
37172,Barddhaman - Howrah Local,Barddhaman,Howrah,14:37,17:16,159,107,Main Line,Howrah,DOWN
37174,Barddhaman - Howrah Local,Barddhaman,Howrah,14:55,17:29,154,107,Main Line,Howrah,DOWN
37174,Barddhaman - Howrah Local,Barddhaman,Howrah,14:58,17:12,134,95,Chord Line,Howrah,DOWN
37176,Barddhaman - Howrah Local,Barddhaman,Howrah,15:15,17:51,156,107,Main Line,Howrah,DOWN
37176,Barddhaman - Howrah Local,Barddhaman,Howrah,15:20,17:31,131,95,Chord Line,Howrah,DOWN
37178,Barddhaman - Howrah Local,Barddhaman,Howrah,15:34,18:07,153,107,Main Line,Howrah,DOWN
37178,Barddhaman - Howrah Local,Barddhaman,Howrah,15:39,17:58,139,95,Chord Line,Howrah,DOWN
37180,Barddhaman - Howrah Local,Barddhaman,Howrah,15:55,18:32,157,107,Main Line,Howrah,DOWN
37180,Barddhaman - Howrah Local,Barddhaman,Howrah,15:57,18:15,138,95,Chord Line,Howrah,DOWN
37182,Barddhaman - Howrah Local,Barddhaman,Howrah,16:13,18:47,154,107,Main Line,Howrah,DOWN
37182,Barddhaman - Howrah Local,Barddhaman,Howrah,16:15,18:30,135,95,Chord Line,Howrah,DOWN
37184,Barddhaman - Howrah Local,Barddhaman,Howrah,16:35,19:09,154,107,Main Line,Howrah,DOWN
37184,Barddhaman - Howrah Local,Barddhaman,Howrah,16:37,18:53,136,95,Chord Line,Howrah,DOWN
37186,Barddhaman - Howrah Local,Barddhaman,Howrah,16:56,19:29,153,107,Main Line,Howrah,DOWN
37186,Barddhaman - Howrah Local,Barddhaman,Howrah,16:58,19:17,139,95,Chord Line,Howrah,DOWN
37188,Barddhaman - Howrah Local,Barddhaman,Howrah,17:18,19:53,155,107,Main Line,Howrah,DOWN
37188,Barddhaman - Howrah Local,Barddhaman,Howrah,17:18,19:34,136,95,Chord Line,Howrah,DOWN
37190,Barddhaman - Howrah Local,Barddhaman,Howrah,17:39,20:15,156,107,Main Line,Howrah,DOWN
37190,Barddhaman - Howrah Local,Barddhaman,Howrah,17:40,19:58,138,95,Chord Line,Howrah,DOWN
37192,Barddhaman - Howrah Local,Barddhaman,Howrah,17:59,20:17,138,95,Chord Line,Howrah,DOWN
37192,Barddhaman - Howrah Local,Barddhaman,Howrah,18:01,20:40,159,107,Main Line,Howrah,DOWN
37194,Barddhaman - Howrah Local,Barddhaman,Howrah,18:21,20:34,133,95,Chord Line,Howrah,DOWN
37194,Barddhaman - Howrah Local,Barddhaman,Howrah,18:22,20:56,154,107,Main Line,Howrah,DOWN
37196,Barddhaman - Howrah Local,Barddhaman,Howrah,18:41,21:20,159,107,Main Line,Howrah,DOWN
37196,Barddhaman - Howrah Local,Barddhaman,Howrah,18:42,20:56,134,95,Chord Line,Howrah,DOWN
37198,Barddhaman - Howrah Local,Barddhaman,Howrah,19:00,21:33,153,107,Main Line,Howrah,DOWN
37198,Barddhaman - Howrah Local,Barddhaman,Howrah,19:04,21:18,134,95,Chord Line,Howrah,DOWN
37200,Barddhaman - Howrah Local,Barddhaman,Howrah,19:19,21:58,159,107,Main Line,Howrah,DOWN
37200,Barddhaman - Howrah Local,Barddhaman,Howrah,19:24,21:36,132,95,Chord Line,Howrah,DOWN
37202,Barddhaman - Howrah Local,Barddhaman,Howrah,19:39,22:16,157,107,Main Line,Howrah,DOWN
37202,Barddhaman - Howrah Local,Barddhaman,Howrah,19:42,22:00,138,95,Chord Line,Howrah,DOWN
37204,Barddhaman - Howrah Local,Barddhaman,Howrah,19:58,22:31,153,107,Main Line,Howrah,DOWN
37204,Barddhaman - Howrah Local,Barddhaman,Howrah,20:00,22:14,134,95,Chord Line,Howrah,DOWN
37206,Barddhaman - Howrah Local,Barddhaman,Howrah,20:17,22:49,152,107,Main Line,Howrah,DOWN
37206,Barddhaman - Howrah Local,Barddhaman,Howrah,20:18,22:35,137,95,Chord Line,Howrah,DOWN
37208,Barddhaman - Howrah Local,Barddhaman,Howrah,20:37,23:16,159,107,Main Line,Howrah,DOWN
37208,Barddhaman - Howrah Local,Barddhaman,Howrah,20:40,22:51,131,95,Chord Line,Howrah,DOWN
37210,Barddhaman - Howrah Local,Barddhaman,Howrah,20:59,23:32,153,107,Main Line,Howrah,DOWN
37210,Barddhaman - Howrah Local,Barddhaman,Howrah,21:01,23:17,136,95,Chord Line,Howrah,DOWN
37212,Barddhaman - Howrah Local,Barddhaman,Howrah,21:17,23:50,153,107,Main Line,Howrah,DOWN
37212,Barddhaman - Howrah Local,Barddhaman,Howrah,21:21,23:35,134,95,Chord Line,Howrah,DOWN
37214,Barddhaman - Howrah Local,Barddhaman,Howrah,21:37,00:13,156,107,Main Line,Howrah,DOWN
37214,Barddhaman - Howrah Local,Barddhaman,Howrah,21:43,23:57,134,95,Chord Line,Howrah,DOWN
37216,Barddhaman - Howrah Local,Barddhaman,Howrah,21:55,00:32,157,107,Main Line,Howrah,DOWN
37216,Barddhaman - Howrah Local,Barddhaman,Howrah,22:01,00:16,135,95,Chord Line,Howrah,DOWN
